施設名称,名称_カナ,住所,方書,設置位置,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数 注2,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,備考
愛知県弥富野鳥園,アイチケンヤトミヤチョウエン,愛知県弥冨市上野町2-10,,①駐車場　,3,2,0,1,2,1,1,0,0,0,0,無,無,無,09:00,17:00,休園日は、月曜日、年末年始（12/29～1/1）,
愛知県弥富野鳥園,アイチケンヤトミヤチョウエン,愛知県弥冨市上野町2-10,,②小公園,3,2,1,0,2,1,1,0,0,0,1,有,無,有,09:00,17:00,休園日は、月曜日、年末年始（12/29～1/1）,
東海自然歩道,トウカイシゼンホドウ,愛知県新城市七郷一色地内,,夏明橋,3,2,1,,2,2,,,,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県北設楽郡設楽町和市地内,,和市,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県北設楽郡設楽町大字田峯地内,,五六橋,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市怒田沢町地内,,金蔵連峠,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市連谷町地内,,伊勢神峠,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市日下部町地内,,弘法杉,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市閑羅瀬町地内,,閑羅瀬の里,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市山中町地内,,山中峠,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県豊田市猿投町地内,,猿投山,2,1,,1,2,1,1,,,,,無,無,無,00:00,24:00,,東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市上山路町地内,,猿投山（山路）,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市白坂町地内,,雲興寺,3,2,,1,2,1,1,,,,,無,無,無,00:00,24:00,,東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市岩屋町地内,,岩屋堂,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市白岩町地内,,白岩,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市上半田川町地内,,上半田川,3,2,1,,2,2,,,,,,無,無,無,00:00,24:00,,東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県瀬戸市余床町地内,,宮苅峠,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県春日井市内津町地内,,北山橋,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県犬山市字八曽地内,,八曽(丸山橋）,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県犬山市字十三塚地内,,鞍馬教会,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県犬山市大字今井地内,,開拓ﾊﾟｲﾛｯﾄ,1,1,,,,,,3,3,,,無,無,無,00:00,24:00,,汲み取り式、東海自然歩道利用者向け
東海自然歩道,トウカイシゼンホドウ,愛知県犬山市大字善師野地内,,善師野駅,3,2,,1,2,1,1,,,,,無,無,無,00:00,24:00,,東海自然歩道利用者向け
愛知こどもの国,アイチコドモノクニ,愛知県西尾市東幡豆町南越田3,,愛知こどもの国園内,104,68,14,22,63,19,44,5,3,2,1,有13,有2,有2,08:30,17:30,休園日を除く,オストメイトトイレは２つ車イス用トイレと兼用
