type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2026-02-22 04:12:17,34.92088052,137.16609793,3.79,97.537,,0.000,,29,47,20260222-131217,GPS Logger: 20260222-131217 - 248-0222
T,2026-02-22 04:12:18,34.92087699,137.16610021,3.79,96.712,,0.000,,29,47,,
T,2026-02-22 04:12:19,34.92088904,137.16608882,3.79,93.217,,0.000,,31,47,,
T,2026-02-22 04:12:20,34.92089871,137.16608002,3.79,92.522,,0.000,,33,47,,
T,2026-02-22 04:12:21,34.92090348,137.16607442,3.79,92.460,,0.000,,34,47,,
T,2026-02-22 04:12:22,34.92091087,137.16607108,3.79,92.519,,0.000,,34,47,,
T,2026-02-22 04:12:23,34.92091400,137.16606581,3.79,92.047,,0.000,,35,47,,
T,2026-02-22 04:12:24,34.92091948,137.16606285,3.79,92.281,,0.000,,36,47,,
T,2026-02-22 04:12:25,34.92092403,137.16606065,3.79,90.662,,0.000,,36,47,,
T,2026-02-22 04:12:26,34.92092762,137.16606204,3.79,90.356,,0.000,,34,47,,
T,2026-02-22 04:12:27,34.92092977,137.16605943,3.79,90.240,,0.000,,32,47,,
T,2026-02-22 04:12:28,34.92092710,137.16606192,3.79,89.865,,0.000,,28,47,,
T,2026-02-22 04:12:29,34.92091975,137.16606525,3.79,89.723,,0.000,,28,47,,
T,2026-02-22 04:12:30,34.92091849,137.16606842,3.79,90.081,,0.000,,28,47,,
T,2026-02-22 04:12:31,34.92091907,137.16607087,3.79,89.781,,0.000,,28,47,,
T,2026-02-22 04:12:32,34.92092140,137.16606786,3.79,89.463,,0.000,,29,47,,
T,2026-02-22 04:12:33,34.92092162,137.16606910,3.79,89.384,,0.000,,29,47,,
T,2026-02-22 04:12:34,34.92092179,137.16606935,3.79,89.332,,0.000,,29,47,,
T,2026-02-22 04:12:35,34.92092260,137.16607327,3.79,89.061,,0.000,,30,47,,
T,2026-02-22 04:12:36,34.92092158,137.16607701,3.79,88.867,,0.000,,29,47,,
T,2026-02-22 04:12:37,34.92091664,137.16607536,3.79,88.844,,0.000,,28,47,,
T,2026-02-22 04:12:38,34.92091395,137.16607482,3.79,88.707,,0.000,,26,47,,
T,2026-02-22 04:12:39,34.92091227,137.16607450,3.79,89.459,,0.000,,27,47,,
T,2026-02-22 04:12:40,34.92090546,137.16607111,3.79,89.198,,0.000,,27,47,,
T,2026-02-22 04:12:41,34.92089948,137.16606878,3.79,89.801,,0.000,,31,47,,
T,2026-02-22 04:12:42,34.92089507,137.16606793,3.79,89.082,,0.000,,32,47,,
T,2026-02-22 04:12:43,34.92089202,137.16607079,3.79,89.146,,0.000,,32,47,,
T,2026-02-22 04:12:44,34.92089075,137.16607074,3.79,89.020,,0.000,,33,47,,
T,2026-02-22 04:12:45,34.92088711,137.16607215,3.79,89.180,,0.000,,33,47,,
T,2026-02-22 04:12:46,34.92088335,137.16607362,3.79,89.280,,0.000,,33,47,,
T,2026-02-22 04:12:47,34.92088173,137.16607643,3.79,89.070,,0.000,,33,47,,
T,2026-02-22 04:12:48,34.92087762,137.16607538,3.79,89.047,,0.000,,33,47,,
T,2026-02-22 04:12:49,34.92087395,137.16607602,3.79,88.946,,0.000,,32,47,,
T,2026-02-22 04:12:50,34.92087041,137.16607786,3.79,89.009,,0.000,,32,47,,
T,2026-02-22 04:12:51,34.92086784,137.16608150,3.79,88.797,,0.000,,32,47,,
T,2026-02-22 04:12:52,34.92086797,137.16608289,3.79,88.954,,0.000,,32,47,,
T,2026-02-22 04:12:53,34.92086979,137.16608171,3.79,88.981,,0.000,,32,47,,
T,2026-02-22 04:12:54,34.92087387,137.16607601,3.79,88.877,,0.000,,32,47,,
T,2026-02-22 04:12:55,34.92087865,137.16607893,3.79,89.168,,0.000,,33,47,,
T,2026-02-22 04:12:56,34.92088324,137.16608150,3.79,89.704,,0.000,,33,47,,
T,2026-02-22 04:12:57,34.92088549,137.16608348,3.79,90.150,,0.000,,33,47,,
T,2026-02-22 04:12:58,34.92088670,137.16608629,3.79,90.305,,0.000,,33,47,,
T,2026-02-22 04:12:59,34.92088524,137.16608076,3.79,90.399,,0.000,,33,47,,
T,2026-02-22 04:13:00,34.92088566,137.16607805,3.79,90.209,,0.000,,33,47,,
T,2026-02-22 04:13:01,34.92088302,137.16607713,3.79,90.147,,0.160,225,34,47,,
T,2026-02-22 04:13:02,34.92088135,137.16607966,3.79,90.264,,0.000,,34,47,,
T,2026-02-22 04:13:03,34.92088322,137.16608340,3.79,90.026,,0.000,,34,47,,
T,2026-02-22 04:13:04,34.92088247,137.16608449,3.79,90.056,,0.000,,34,47,,
T,2026-02-22 04:13:05,34.92088335,137.16608772,3.79,90.049,,0.000,,33,47,,
T,2026-02-22 04:13:06,34.92088286,137.16608075,3.79,90.352,,0.000,,31,47,,
T,2026-02-22 04:13:07,34.92088219,137.16607784,3.79,90.673,,0.000,,29,47,,
T,2026-02-22 04:13:08,34.92088363,137.16607967,3.79,90.921,,0.000,,28,47,,
T,2026-02-22 04:13:09,34.92089080,137.16607792,3.79,91.236,,0.000,,28,47,,
T,2026-02-22 04:13:10,34.92089254,137.16607635,3.79,91.272,,0.000,,27,47,,
T,2026-02-22 04:13:11,34.92089705,137.16607625,3.79,91.397,,0.000,,28,47,,
T,2026-02-22 04:13:12,34.92089485,137.16607414,3.79,91.394,,0.000,,28,47,,
T,2026-02-22 04:13:13,34.92089815,137.16607944,3.79,91.615,,0.000,,27,47,,
T,2026-02-22 04:13:14,34.92089986,137.16607732,3.79,92.368,,0.000,,28,47,,
T,2026-02-22 04:13:15,34.92090253,137.16607638,3.79,92.603,,0.000,,28,47,,
T,2026-02-22 04:13:16,34.92090758,137.16607117,3.79,92.471,,0.000,,29,47,,
T,2026-02-22 04:13:17,34.92090582,137.16606735,3.79,92.370,,0.000,,30,47,,
T,2026-02-22 04:13:18,34.92090441,137.16607070,3.79,92.559,,0.000,,31,47,,
T,2026-02-22 04:13:19,34.92090684,137.16607059,3.79,92.814,,0.000,,32,47,,
T,2026-02-22 04:13:20,34.92090209,137.16607126,3.79,92.919,,0.000,,32,47,,
T,2026-02-22 04:13:21,34.92089988,137.16607414,3.79,92.996,,0.000,,32,47,,
T,2026-02-22 04:13:22,34.92089617,137.16607617,3.79,93.061,,0.000,,32,47,,
T,2026-02-22 04:13:23,34.92089480,137.16607752,3.79,93.134,,0.000,,31,47,,
T,2026-02-22 04:13:24,34.92089226,137.16608101,3.79,93.526,,0.000,,30,47,,
T,2026-02-22 04:13:25,34.92089361,137.16608318,3.79,94.074,,0.000,,30,47,,
T,2026-02-22 04:13:26,34.92089027,137.16608153,3.79,93.884,,0.000,,30,47,,
T,2026-02-22 04:13:27,34.92088853,137.16608134,3.79,93.812,,0.000,,30,47,,
T,2026-02-22 04:13:28,34.92088658,137.16607935,3.79,93.659,,0.000,,30,47,,
T,2026-02-22 04:13:29,34.92088717,137.16608017,3.79,93.974,,0.000,,30,47,,
T,2026-02-22 04:13:30,34.92088406,137.16608342,3.79,94.143,,0.000,,31,47,,
T,2026-02-22 04:13:31,34.92088425,137.16608273,3.79,94.167,,0.220,108,29,47,,
T,2026-02-22 04:13:32,34.92088839,137.16607835,3.79,93.593,,0.000,,29,47,,
T,2026-02-22 04:13:33,34.92088811,137.16608002,3.79,93.184,,0.000,,30,47,,
T,2026-02-22 04:13:34,34.92089312,137.16608084,3.79,92.951,,0.000,,30,47,,
T,2026-02-22 04:13:35,34.92089492,137.16607937,3.79,92.918,,0.000,,31,47,,
T,2026-02-22 04:13:36,34.92089328,137.16607470,3.79,92.435,,0.000,,30,47,,
T,2026-02-22 04:13:37,34.92089463,137.16606932,3.79,91.976,,0.000,,30,47,,
T,2026-02-22 04:13:38,34.92089733,137.16606833,3.79,91.834,,0.000,,29,47,,
T,2026-02-22 04:13:39,34.92089692,137.16606347,3.79,91.265,,0.000,,29,47,,
T,2026-02-22 04:13:40,34.92089588,137.16606322,3.79,90.844,,0.000,,27,47,,
T,2026-02-22 04:13:41,34.92089969,137.16606143,3.79,90.461,,0.000,,26,47,,
T,2026-02-22 04:13:42,34.92089924,137.16605936,3.79,90.527,,0.000,,26,47,,
T,2026-02-22 04:13:43,34.92090185,137.16605902,3.79,90.523,,0.000,,26,47,,
T,2026-02-22 04:13:44,34.92090385,137.16605906,3.79,90.707,,0.000,,28,47,,
T,2026-02-22 04:13:45,34.92090403,137.16605869,3.79,90.919,,0.000,,28,47,,
T,2026-02-22 04:13:46,34.92090664,137.16606179,3.79,91.056,,0.000,,29,47,,
T,2026-02-22 04:13:47,34.92090784,137.16606085,3.79,91.108,,0.000,,30,47,,
T,2026-02-22 04:13:48,34.92090612,137.16606192,3.79,91.325,,0.000,,30,47,,
T,2026-02-22 04:13:49,34.92090631,137.16606054,3.79,91.256,,0.000,,30,47,,
T,2026-02-22 04:13:50,34.92090546,137.16606167,3.79,91.609,,0.000,,29,47,,
T,2026-02-22 04:13:51,34.92090533,137.16606462,3.79,91.196,,0.000,,29,47,,
T,2026-02-22 04:13:52,34.92090273,137.16606629,3.79,91.108,,0.000,,29,47,,
T,2026-02-22 04:13:53,34.92090155,137.16606874,3.79,90.554,,0.000,,30,47,,
T,2026-02-22 04:13:54,34.92090085,137.16607335,3.79,90.442,,0.000,,30,47,,
T,2026-02-22 04:13:55,34.92090042,137.16607118,3.79,90.084,,0.000,,30,47,,
T,2026-02-22 04:13:56,34.92090031,137.16607262,3.79,89.555,,0.000,,29,47,,
T,2026-02-22 04:13:57,34.92089786,137.16607458,3.79,89.192,,0.000,,29,47,,
T,2026-02-22 04:13:58,34.92089905,137.16607499,3.79,88.990,,0.000,,29,47,,
T,2026-02-22 04:13:59,34.92089930,137.16607428,3.79,88.776,,0.000,,28,47,,
T,2026-02-22 04:14:00,34.92089821,137.16607906,3.79,88.757,,0.000,,28,47,,
